,file_name,file_path,file_url,repo
0,parse tblastn,Scripts/parse tblastn,https://github.com/Oreoluwa85/MRCTLH/blob/6d7419304f2774556bbae77d4d942ee33f7aa28c/Scripts/parse%20tblastn,Oreoluwa85/MRCTLH
1,BlastWithTSVFormatMax1.sh,sh_files/BlastWithTSVFormatMax1.sh,https://github.com/dnething89/AnnotationScript/blob/5e5a26d8ed649cc80b5c539060e1d87988f5507b/sh_files/BlastWithTSVFormatMax1.sh,dnething89/AnnotationScript
2,BlastWithTSVFormatMax3.sh,sh_files/BlastWithTSVFormatMax3.sh,https://github.com/dnething89/AnnotationScript/blob/5e5a26d8ed649cc80b5c539060e1d87988f5507b/sh_files/BlastWithTSVFormatMax3.sh,dnething89/AnnotationScript
3,assembly.annotation.slq,RNAseq/deNovo/annotation/assembly.annotation.slq,https://github.com/RodrigoGM/mousegenomics/blob/af8a3a4e2e312b83db990461b69f5d656b1a5bf6/RNAseq/deNovo/annotation/assembly.annotation.slq,RodrigoGM/mousegenomics
4,BlastWithTSVFormatMax2.sh,sh_files/BlastWithTSVFormatMax2.sh,https://github.com/dnething89/AnnotationScript/blob/5e5a26d8ed649cc80b5c539060e1d87988f5507b/sh_files/BlastWithTSVFormatMax2.sh,dnething89/AnnotationScript
5,big_blastx.sh,09_Blueberry/big_blastx.sh,https://github.com/vikas0633/shell/blob/258d4de53bac30c40f68065352e9df77d7da213a/09_Blueberry/big_blastx.sh,vikas0633/shell
6,mc_transcriptome.md,Matt/Mc_transcriptome/mc_transcriptome.md,https://github.com/macmanes/MacManes_Lab_Notebook/blob/3c3cda3a3d8ea0fb1fdaee9d7fe769ef8300a50e/Matt/Mc_transcriptome/mc_transcriptome.md,macmanes/MacManes_Lab_Notebook
7,work.sh,del_ORF/work.sh,https://github.com/bio-punk/ssRNA_virus_polymerase_analysis/blob/2c8ff4114897ab428b8f8b3748811c179bd31c37/del_ORF/work.sh,bio-punk/ssRNA_virus_polymerase_analysis
8,blast_commands,gene_searches/blast_commands,https://github.com/uio-cels/Solbakken_TLRs/blob/f7e035506ce5fb8e560ecc55c951132fb44f620f/gene_searches/blast_commands,uio-cels/Solbakken_TLRs
9,Mytilus_treanscriptome.md,Matt/General Code/Mytilus_treanscriptome.md,https://github.com/macmanes/MacManes_Lab_Notebook/blob/3c3cda3a3d8ea0fb1fdaee9d7fe769ef8300a50e/Matt/General%20Code/Mytilus_treanscriptome.md,macmanes/MacManes_Lab_Notebook
10,blast_setup.sh,blast_setup.sh,https://github.com/FernaldLab/_scripts/blob/452847c8c8dac8e943157fab92edc62a5950669c/blast_setup.sh,FernaldLab/_scripts
11,homology.sh,Hoffman_rnaseq_guide_and_scripts/homology.sh,https://github.com/avahoffman/gene-expression/blob/0e41cf24aa3a39753ba011980359d2cd733d17c8/Hoffman_rnaseq_guide_and_scripts/homology.sh,avahoffman/gene-expression
12,homology.sh,homology_otherspecies/homology.sh,https://github.com/avahoffman/gene-expression/blob/0e41cf24aa3a39753ba011980359d2cd733d17c8/homology_otherspecies/homology.sh,avahoffman/gene-expression
13,anno_blast.sh,anno_blast.sh,https://github.com/dingxm/NGS_pipeline/blob/5a86a61575aeb18a916c4564a0ae88ed3ef9dc0a/anno_blast.sh,dingxm/NGS_pipeline
14,blast,ORFanFX/build/classes/settings/scripts/blast,https://github.com/sureshhewabi/OrphanGene/blob/a79dc90c8e6e4043697829ae3b27591d61660eba/ORFanFX/build/classes/settings/scripts/blast,sureshhewabi/OrphanGene
15,blast,ORFanFX/src/settings/scripts/blast,https://github.com/sureshhewabi/OrphanGene/blob/a79dc90c8e6e4043697829ae3b27591d61660eba/ORFanFX/src/settings/scripts/blast,sureshhewabi/OrphanGene
16,single_blast.pl,test_workflow/single_blast.pl,https://github.com/lonelyjoeparker/pi_biolinux_cluster/blob/cec484382739e454b7ac8a183c49f5f8f19e989a/test_workflow/single_blast.pl,lonelyjoeparker/pi_biolinux_cluster
17,miesbs.sh,miesbs.sh,https://github.com/sellisd/IES/blob/04b6f1dc7a0be8c0e48899f4acf3ce7a352bd91e/miesbs.sh,sellisd/IES
18,blast,public/data/settings/scripts/blast,https://github.com/sureshhewabi/ORFanOnline/blob/71432291ab0c73754cffa36725e37a69959e23b3/public/data/settings/scripts/blast,sureshhewabi/ORFanOnline
19,blast,public/scripts/blast,https://github.com/sureshhewabi/ORFanOnline/blob/71432291ab0c73754cffa36725e37a69959e23b3/public/scripts/blast,sureshhewabi/ORFanOnline
20,doblastp.sh,blast_parsing/doblastp.sh,https://github.com/urmi-21/bioinformatics/blob/23d8bccba342585824a9d0d60c3d5bf741d2ee49/blast_parsing/doblastp.sh,urmi-21/bioinformatics
